Dataset,ALSTM-FCN,LSTM-FCN,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet
Adiac,0.7954,0.86189,0.8312,0.611,0.604,0.76471,0.5632,0.76982,0.78261,0.66496,0.79028,0.75200,0.85700,0.82600
ArrowHead,0.82286,0.89714,0.85714,0.8,0.663,0.83429,0.84571,0.75429,0.73714,0.81143,0.81143,0.82300,0.88000,0.81700
Beef,0.8,0.8,0.76667,0.667,0.633,0.8,0.76,0.56667,0.9,0.63333,0.86667,0.83300,0.75000,0.76700
BeetleFly,0.9,0.9,0.95,0.7,0.7,0.9,0.8,0.8,0.9,0.75,0.8,0.85000,0.95000,0.80000
BirdChicken,0.95,0.95,0.8,0.7,0.75,0.95,0.8,0.9,0.8,0.8,0.9,0.80000,0.95000,0.90000
car,0.91667,0.95,0.86667,0.767,0.733,0.83333,0.76667,0.78333,0.91667,0.83333,0.9,0.83300,0.91700,0.93300
CBF,0.99444,0.99556,0.98333,0.994,0.997,0.99778,0.9944,0.98778,0.97444,0.99778,0.99556,0.86000,1.00000,0.99400
ChlorineConcentration,0.79167,0.80339,0.7526,0.65,0.648,0.66094,0.6514,0.69245,0.69974,0.65625,0.72708,0.87200,0.84300,0.82800
CinC_ECG_torso,0.82899,0.87899,0.99348,0.93,0.651,0.88696,0.833,0.71232,0.95435,0.94203,0.99493,0.84200,0.81300,0.77100
Coffee,1,1,1,1,1,1,1,1,0.96429,1,1,1.00000,1.00000,1.00000
Computers,0.844,0.836,0.656,0.62,0.7,0.756,0.584,0.756,0.736,0.708,0.74,0.54000,0.84800,0.82400
Cricket_X,0.77692,0.78205,0.7641,0.772,0.754,0.7359,0.7908,0.70513,0.77179,0.81282,0.80769,0.56900,0.81500,0.82100
Cricket_Y,0.78462,0.77692,0.78974,0.762,0.744,0.75385,0.7513,0.7359,0.77949,0.80513,0.82564,0.59500,0.79200,0.80500
Cricket_Z,0.79487,0.81795,0.78718,0.746,0.754,0.74615,0.7995,0.71538,0.78718,0.78205,0.81538,0.59200,0.81300,0.81300
DiatomSizeReduction,0.93791,0.94444,0.88562,0.935,0.967,0.93137,0.9667,0.89869,0.92484,0.94444,0.9281,0.96400,0.93000,0.93100
DistalPhalanxOutlineAgeGroup,0.8275,0.8325,0.76978,0.626,0.77,0.77,0.77899,0.78261,0.77536,0.72826,0.76087,0.82700,0.83500,0.79800
DistalPhalanxOutlineCorrect,0.81167,0.80667,0.77899,0.725,0.717,0.739,0.71942,0.71223,0.76978,0.69065,0.7482,0.81000,0.81200,0.82000
DistalPhalanxTW,0.7925,0.7875,0.67626,0.633,0.59,0.705,0.6259,0.67626,0.66187,0.64748,0.69784,0.74700,0.79000,0.74000
Earthquakes,0.79814,0.80435,0.7482,0.727,0.719,0.748,0.74101,0.7482,0.74101,0.74101,0.7482,0.79200,0.80100,0.78600
ECG200,0.9,0.87,0.85,0.88,0.77,0.87,0.874,0.84,0.83,0.88,0.88,0.92000,0.90000,0.87000
ECG5000,0.93956,0.94333,0.94822,0.925,0.75,0.94133,0.93222,0.93956,0.94378,0.93867,0.946,0.93500,0.94100,0.93100
ECGFiveDays,0.99071,0.99187,1,0.797,0.768,1,1,0.87689,0.98374,0.81998,0.99884,0.97000,0.98500,0.95500
ElectricDevices,0.73324,0.74673,0.73285,0.625,0.601,0.79925,0.58747,0.7025,0.74698,0.66295,0.71327,0.58000,0.72300,0.72800
FaceAll,0.93018,0.92189,0.78698,0.808,0.808,0.78166,0.7825,0.74438,0.7787,0.84852,0.91775,0.88500,0.92900,0.83400
FaceFour,0.94318,0.94318,1,0.886,0.83,1,0.9522,1,0.85227,0.90909,0.89773,0.83000,0.93200,0.93200
FacesUCR,0.93854,0.9361,0.9522,0.912,0.905,0.95707,0.9413,0.86683,0.90585,0.94488,0.94244,0.81500,0.94800,0.95800
FiftyWords,0.67473,0.8022,0.81099,0.765,0.69,0.70549,0.7681,0.75824,0.70549,0.81978,0.7978,0.71200,0.67900,0.72700
