dataset_id,lstm_size,model_type,param_count,accuracy
37,8,attention,396974,0.960784310219
37,64,attention,490830,0.95424835939
37,128,attention,628814,0.964052290698
37,8,no_attention,277604,0.947712414794
37,64,no_attention,371460,0.957516342986
37,128,no_attention,509444,0.967320261438
14,8,attention,545330,1.0
14,64,attention,676482,0.949999988079
14,128,attention,857090,0.850000023842
14,8,no_attention,282674,0.949999988079
14,64,no_attention,413826,0.949999988079
14,128,no_attention,594434,0.899999976158
15,8,attention,545330,1.0
15,64,attention,676482,0.899999976158
15,128,attention,857090,0.899999976158
15,8,no_attention,282674,1.0
15,64,no_attention,413826,0.899999976158
15,128,no_attention,594434,0.899999976158
1,8,attention,337711,0.851428572791
1,64,attention,410455,0.937142859868
1,128,attention,524311,0.87428571701
1,8,no_attention,274459,0.840000003406
1,64,no_attention,347203,0.90285714422
1,128,no_attention,461059,0.908571429934
46,8,attention,400614,0.954545497894
46,64,attention,495590,0.943181872368
46,128,attention,634854,0.886363625526
46,8,no_attention,277764,0.931818127632
46,64,no_attention,372740,0.943181872368
46,128,no_attention,512004,0.897727251053
75,8,attention,438376,0.984924625991
75,64,attention,544216,0.966834171693
75,128,attention,695896,0.959798995814
75,8,no_attention,279574,0.983919595953
75,64,no_attention,385414,0.968844228893
75,128,no_attention,537094,0.961809050977
19,8,attention,275467,0.81
19,64,attention,309907,0.805
19,128,attention,379987,0.7975
19,8,no_attention,268987,0.8075
19,64,no_attention,303427,0.8075
19,128,no_attention,373507,0.8125
82,8,attention,1106401,0.685082880173
82,64,attention,1324633,0.574585646556
82,128,attention,1604761,0.486187847609
82,8,no_attention,295501,0.668508294538
82,64,no_attention,513733,0.602209951667
82,128,no_attention,793861,0.563535913907
23,8,attention,275330,0.934707903985
23,64,attention,309714,0.927835052161
23,128,attention,379730,0.910652921577
23,8,no_attention,268850,0.931271478073
23,64,no_attention,303234,0.927835051751
23,128,no_attention,373250,0.945017182335
84,8,attention,461824,0.923333334605
84,64,attention,573712,0.873000000318
84,128,attention,732304,0.862000000636
84,8,no_attention,279922,0.910000001431
84,64,no_attention,391810,0.916333334605
84,128,no_attention,550402,0.917666667302
70,8,attention,532790,0.988888888889
70,64,attention,661254,0.95
70,128,attention,838790,0.944444444444
70,8,no_attention,282290,0.972222222222
70,64,no_attention,410754,0.961111124357
70,128,no_attention,588290,0.966666666667
30,8,attention,367560,0.812820513432
30,64,attention,451784,0.751282051282
30,128,attention,578760,0.697435898047
30,8,no_attention,277260,0.805128205434
30,64,no_attention,361484,0.80512820574
30,128,no_attention,488460,0.779487180099
76,8,attention,272418,0.990000003179
76,64,attention,302546,0.990000006358
76,128,attention,367698,0.993333333333
76,8,no_attention,268758,0.990000003179
76,64,no_attention,298886,0.993333339691
76,128,no_attention,364038,0.99
78,8,attention,287172,0.98675
78,64,attention,332420,0.99325
78,128,attention,414852,0.987
78,8,no_attention,270660,0.95825
78,64,no_attention,315908,0.99675
78,128,no_attention,398340,0.9965
17,8,attention,273500,0.975041597734
17,64,attention,305644,0.971713802283
17,128,attention,373100,0.956738761479
17,8,no_attention,268530,0.981697162951
17,64,no_attention,300674,0.963394335126
17,128,no_attention,368130,0.943427612599
25,8,attention,276118,0.918530355818
25,64,attention,311398,0.922523960519
25,128,attention,382438,0.924121403846
25,8,no_attention,268978,0.939297128219
25,64,no_attention,304258,0.918530353342
25,128,no_attention,375298,0.930511184965
79,8,attention,275720,0.999999987964
79,64,attention,310552,1.0
79,128,attention,381080,1.0
79,8,no_attention,268914,0.999122036874
79,64,no_attention,303746,0.999122024838
79,128,no_attention,374274,0.999122036874
63,8,attention,610274,0.866666734219
63,64,attention,754530,0.866666734219
63,128,attention,950114,0.866666734219
63,8,no_attention,284804,0.83333337307
63,64,no_attention,429060,0.866666734219
63,128,no_attention,624644,0.866666734219
18,8,attention,272660,0.973767051417
18,64,attention,303684,0.97796432319
18,128,attention,369860,0.979013642009
18,8,no_attention,268370,0.973767051417
18,64,no_attention,299394,0.97481636936
18,128,no_attention,365570,0.97796432319
8,8,attention,503111,0.83333337307
8,64,attention,625023,0.933333396912
8,128,attention,795071,0.933333396912
8,8,no_attention,281741,0.83333337307
8,64,no_attention,403653,0.900000095367
8,128,no_attention,573701,0.900000095367
44,8,attention,279359,0.757748670672
44,64,attention,317607,0.730385163982
44,128,attention,392039,0.720140059593
44,8,no_attention,270047,0.765270392883
44,64,no_attention,308295,0.768123459807
44,128,no_attention,382727,0.766048502078
50,8,attention,532790,0.902915291857
50,64,attention,661254,0.821232124327
50,128,attention,838790,0.808305831632
50,8,no_attention,282290,0.918041804312
50,64,no_attention,410754,0.907040704202
50,128,no_attention,588290,0.896589659359
52,8,attention,466274,0.809523940086
52,64,attention,579282,0.742857217789
52,128,attention,739154,0.752381026745
52,8,no_attention,280082,0.771428585052
52,64,no_attention,393090,0.761904776096
52,128,no_attention,552962,0.75238096714
51,8,attention,293740,1.0
51,64,attention,343804,0.993333333333
51,128,attention,431740,0.960000006358
51,8,no_attention,271090,1.0
51,64,no_attention,321154,1.0
51,128,no_attention,409090,1.0
28,8,attention,352160,0.96052629383
28,64,attention,430672,0.982456144534
28,128,attention,551120,0.960526298013
28,8,no_attention,275154,0.982456152899
28,64,no_attention,353666,0.973684188567
28,128,no_attention,474114,0.973684184384
36,8,attention,395258,0.915384615385
36,64,attention,488554,0.923076923077
36,128,attention,625898,0.884615384615
36,8,no_attention,277266,0.915384615385
36,64,no_attention,370562,0.930769230769
36,128,no_attention,507906,0.884615384615
34,8,attention,376732,0.73841429632
34,64,attention,464092,0.743997768208
34,128,attention,594652,0.743160248368
34,8,no_attention,277192,0.720268008298
34,64,no_attention,364552,0.767169182924
34,128,no_attention,495112,0.764935791659
31,8,attention,367560,0.820512820513
31,64,attention,451784,0.753846154457
31,128,attention,578760,0.741025641331
31,8,no_attention,277260,0.812820513432
31,64,no_attention,361484,0.81794871856
31,128,no_attention,488460,0.794871795177
30,8,attention,367560,0.794871795483
30,64,attention,451784,0.725641025947
30,128,attention,578760,0.7
30,8,no_attention,277260,0.807692308304
30,64,no_attention,361484,0.800000000306
30,128,no_attention,488460,0.766666666972
