dataset_id,lstm_size,model_type,param_count,accuracy
37,8,attention,291484,0.947712424534
37,64,attention,486084,0.967320264554
37,128,attention,746884,0.97385620915
14,8,attention,303234,0.850000023842
14,64,attention,581890,1.0
14,128,attention,938754,0.850000023842
15,8,attention,303234,1.0
15,64,attention,581890,0.899999976158
15,128,attention,938754,0.850000023842
1,8,attention,284579,0.828571431977
1,64,attention,431747,0.897142859868
1,128,attention,638339,0.925714287077
46,8,attention,291844,0.943181812763
46,64,attention,488964,0.920454502106
46,128,attention,752644,0.886363625526
75,8,attention,295574,0.986934678279
75,64,attention,516998,0.978894475237
75,128,attention,808454,0.964824126354
19,8,attention,272267,0.8025
19,64,attention,333251,0.8175
19,128,attention,441347,0.7925
82,8,attention,331581,0.657458570781
82,64,attention,805957,0.613259671143
82,128,attention,1386501,0.563535922799
23,8,attention,272130,0.927835051956
23,64,attention,333058,0.927835052161
23,128,attention,441090,0.931271477868
84,8,attention,297042,0.91033333381
84,64,attention,532354,0.916333333969
84,128,attention,839682,0.919000000318
70,8,attention,302370,0.961111124357
70,64,attention,574978,0.983333333333
70,128,attention,924930,0.972222222222
76,8,attention,271238,0.990000003179
76,64,attention,322310,0.990000006358
76,128,attention,419078,0.990000006358
78,8,attention,275860,0.96475
78,64,attention,361092,0.99675
78,128,attention,496900,0.9955
17,8,attention,271410,0.970049908375
17,64,attention,327298,0.935108145045
17,128,attention,429570,0.901830277606
25,8,attention,272418,0.91693290373
25,64,attention,335362,0.936102242515
25,128,attention,445698,0.9233226898
79,8,attention,272274,0.999122024838
79,64,attention,334210,0.999122036874
79,128,attention,443394,0.999122036874
63,8,attention,307684,0.866666734219
63,64,attention,615684,0.900000095367
63,128,attention,1006084,0.933333396912
18,8,attention,271050,0.970619097587
18,64,attention,324418,0.97481636936
18,128,attention,423810,0.971668415968
8,8,attention,300621,0.866666734219
8,64,attention,558277,0.933333396912
8,128,attention,891141,0.866666734219
44,8,attention,273967,0.759823628397
44,64,attention,343239,0.767215665874
44,128,attention,460807,0.763584489505
50,8,attention,302370,0.915841584355
50,64,attention,574978,0.901815182567
50,128,attention,924930,0.899889989786
52,8,attention,297402,0.828571438789
52,64,attention,535234,0.83809530735
52,128,attention,845442,0.742857158184
51,8,attention,277170,1.0
51,64,attention,373378,1.0
51,128,attention,521730,0.986666666667
28,8,attention,286314,0.982456140351
28,64,attention,446530,0.986842105263
28,128,attention,668034,0.986842105263
36,8,attention,291066,0.923076923077
36,64,attention,484546,0.930769230769
36,128,attention,744066,0.923076923077
34,8,attention,289872,0.717476273002
34,64,attention,469576,0.764098271753
34,128,attention,713352,0.765773312564
31,8,attention,289340,0.800000000611
31,64,attention,461708,0.820512821124
31,128,attention,697100,0.787179487485
30,8,attention,289340,0.80512820574
30,64,attention,461708,0.789743590355
30,128,attention,697100,0.766666666972
